upperBorder,lowerBorder,acronym,name,avIndex
0,160,VISp1,Primary visual area layer 1,187
160,450,VISp2/3,Primary visual area layer 2/3,188
450,640,VISp4,Primary visual area layer 4,189
640,940,VISp5,Primary visual area layer 5,190
940,1210,VISp6a,Primary visual area layer 6a,191
1210,1260,VISp6b,Primary visual area layer 6b,192
1260,1350,or,optic radiation,1217
1350,1430,fp,corpus callosum posterior forceps,1197
1430,1890,dhc,dorsal hippocampal commissure,1255
1890,1960,HPF,Hippocampal formation,455
1960,1970,SUB,Subiculum,536
1970,1980,HPF,Hippocampal formation,455
1980,2180,SUB,Subiculum,536
2180,2610,PRE,Presubiculum,532
2610,3090,PRE,Presubiculum,532
3090,3120,PAR,Parasubiculum,524
