upperBorder,lowerBorder,acronym,name,avIndex
0,150,VISp1,Primary visual area layer 1,187
150,460,VISp2/3,Primary visual area layer 2/3,188
460,660,VISp4,Primary visual area layer 4,189
660,980,VISp5,Primary visual area layer 5,190
980,1040,VISp6a,Primary visual area layer 6a,191
1040,1280,VISl6a,Lateral visual area layer 6a,184
1280,1340,VISl6b,Lateral visual area layer 6b,185
1340,1430,or,optic radiation,1217
1430,1630,fp,corpus callosum posterior forceps,1197
1630,1710,alv,alveus,1246
1710,3470,SUB,Subiculum,536
3470,3870,SUB,Subiculum,536
3870,3980,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
