upperBorder,lowerBorder,acronym,name,avIndex
0,160,VISp1,Primary visual area layer 1,187
160,450,VISp2/3,Primary visual area layer 2/3,188
450,640,VISp4,Primary visual area layer 4,189
640,920,VISp5,Primary visual area layer 5,190
920,1190,VISp6a,Primary visual area layer 6a,191
1190,1240,VISp6b,Primary visual area layer 6b,192
1240,1320,or,optic radiation,1217
1320,1390,fp,corpus callosum posterior forceps,1197
1390,1840,dhc,dorsal hippocampal commissure,1255
1840,1860,HPF,Hippocampal formation,455
1860,1880,alv,alveus,1246
1880,1900,HPF,Hippocampal formation,455
1900,2180,SUB,Subiculum,536
2180,3100,PRE,Presubiculum,532
3100,3210,PRE,Presubiculum,532
3210,3610,PAR,Parasubiculum,524
