,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,cluster_id,unit_location_x,unit_location_y,unit_location_z,Day
0,33135,7.81436026366558,1.0,1.71640861443341,0.4673098829692016,363,0.3818822310925918,160,0.16,0.0058957029664924,-9.36,1.238786697387695,0.6499414443969723,0.2704994718575524,0.0054323223177908,0.0001207182737286,10.329999999999997,1.844250960350736,1,34.35194835213841,303.15362887816786,47.70793213009688,D15
1,20905,4.930110195018227,1.0,1.5430065026015285,0.1875857916661128,58,0.1076754965836961,21,0.115,0.0002501215285336,-7.4099994,1.309319019317627,0.5880061596632002,0.2473570916048792,0.0054054054054054,4.783544606553456e-05,7.2,1.585776780808421,2,42.91402693018819,303.63751531823897,54.84517461986594,D15
2,41976,9.899368837411387,1.0,1.9953253136805684,0.4444060401481189,554,0.2714902376420662,195,0.125,9.113456738459696e-06,-12.675,0.5809244513511658,0.4081604838371275,0.1067276538974652,0.0007623403849818,2.38231370306842e-05,14.000000000000002,1.153811680941696,3,-8.735452043889776,42.46543492209411,23.790677915509633,D15
3,3330,0.7853272877020184,1.0,5.9684983089366845,0.0,0,0.0,0,0.255,0.0105929923438534,-38.024998,0.1823642253875732,0.1012470163404941,0.1054054054054054,0.0009009009009009,0.0,2.8,1.1570472472396445,4,15.48246874841425,42.04352154807412,1.0000000000000273,D15
4,25707,6.062585160647384,1.0,4.441023674886415,0.1048010359427013,49,0.0942731751565025,28,0.105,6.829078236871345e-05,-28.47,0.3341966867446899,0.2699438616633413,0.0965106780254405,0.0007390983000739,0.0,11.129999999999995,1.2355086845945378,5,47.5749559235085,53.82217960845433,1.000000000143749,D15
5,10411,2.4552679856653796,1.0,9.2009185832981,0.0260805888905277,2,0.0197555832017157,1,0.065,0.0002310183017311,-60.254997,0.1510650217533111,0.1042179930955171,0.1489770435116703,0.0020170973009317,0.0,7.8,1.1112529658813026,9,19.734020811108348,81.69498121029692,1.0000000000027984,D15
6,18323,4.321186754523749,1.0,2.6332071012655405,0.7325349931770595,174,0.6078319445139093,67,,0.0002939609038554,-16.38,0.5618457794189453,0.3647662028670311,0.1342574905856028,0.0011461005293892,0.0,6.199999999999999,1.2761915731324565,11,24.879173319772562,78.83049965189852,20.99370361393554,D15
7,3767,0.8883867545866376,1.0,9.66549780970752,0.1992099589295812,2,0.1626320631851084,1,0.27,0.0002494383207432,-65.715,0.1586290299892425,0.1546290941536426,0.1260950358375365,0.001592779400053,0.0,3.4,1.1482235104210856,16,-5.785564452986179,100.85044130633916,11.460978442050427,D15
8,12745,3.005704589117786,1.0,6.961373836209691,0.3480587870613358,40,0.4566944172928141,27,0.31,0.0002209106124233,-45.629997,0.2063219845294952,0.1383683145046234,0.1289132993330718,0.0007061592781482,0.0,7.199999999999999,1.141427528556788,17,41.2447328662151,93.94547002440022,11.576503231114724,D15
9,148635,35.05318961188874,1.0,11.140941333368335,0.0036467414333548,57,0.0006719939467081,7,0.005,2.562570998428302e-06,-78.975,0.1224537640810012,0.089998012408614,0.1070811047196151,0.000699700608874,0.0,21.4,1.228363452576563,18,9.11181887808116,99.76973122661207,1.0000000000000167,D15
10,4918,1.1598317119875456,1.0,10.766789874931089,0.0,0,0.0,0,0.045,0.0004879791395811,-70.59,0.123117983341217,0.0844704017043113,0.123424156161041,0.0008133387555917,0.0,3.4,1.055616293445418,24,9.300841971092987,170.7595169806074,1.0000000000087177,D15
11,4531,1.0685639461194731,1.0,9.125105848425878,0.0,0,0.0,0,0.055,5.800265786424641e-05,-56.16,0.1497496664524078,0.1309513993561267,0.0849702052527036,0.0002207018318252,0.0,3.6,1.0684664618711508,25,-9.378743786311224,155.99337756678744,1.0000000000989326,D15
