upperBorder,lowerBorder,acronym,name,avIndex
0,160,VISp1,Primary visual area layer 1,187
160,460,VISp2/3,Primary visual area layer 2/3,188
460,660,VISp4,Primary visual area layer 4,189
660,960,VISp5,Primary visual area layer 5,190
960,1250,VISp6a,Primary visual area layer 6a,191
1250,1260,VISl6a,Lateral visual area layer 6a,184
1260,1300,VISl6b,Lateral visual area layer 6b,185
1300,1390,or,optic radiation,1217
1390,1600,fp,corpus callosum posterior forceps,1197
1600,1710,alv,alveus,1246
1710,1720,SUB,Subiculum,536
1720,1730,alv,alveus,1246
1730,2680,SUB,Subiculum,536
2680,3450,PRE,Presubiculum,532
3450,3770,PAR,Parasubiculum,524
3770,3900,PAR,Parasubiculum,524
3900,4160,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
4160,4280,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
