,upperBorder,lowerBorder,acronym,name,avIndex
0,0,160.0,VISp1,Primary visual area layer 1,187
1,160,470.0,VISp2/3,Primary visual area layer 2/3,188
2,470,550.0,VISp4,Primary visual area layer 4,189
3,550,680.0,VISl4,Lateral visual area layer 4,182
4,680,1050.0,VISl5,Lateral visual area layer 5,183
5,1050,1400.0,VISl6a,Lateral visual area layer 6a,184
6,1400,1460.0,VISl6b,Lateral visual area layer 6b,185
7,1460,1490.0,VISli6b,Laterointermediate area layer 6b,213
8,1490,1570.0,or,optic radiation,1217
9,1570,1650.0,ec,external capsule,1194
10,1650,1750.0,HPF,Hippocampal formation,455
11,1750,1830.0,alv,alveus,1246
12,1830,2600.0,SUB,Subiculum,536
13,2600,3470.0,ENTm6,Entorhinal area medial part dorsal zone layer 6,517
14,3470,3880.0,ENTm5,Entorhinal area medial part dorsal zone layer 5,515
15,3880,4100.0,ENTm3,Entorhinal area medial part dorsal zone layer 3,513
16,4100,4150.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
17,4150,4310.0,ENTm2,Entorhinal area medial part dorsal zone layer 2,510
18,4310,4440.0,ENTm1,Entorhinal area medial part dorsal zone layer 1,509
19,4440,4660.0,root,root,1
20,4660,4743.117948866235,root,root,1
