,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,sd_ratio,cluster_id,unit_location_x,unit_location_y,unit_location_z,Day
0,279974,54.598622586743474,1.0,4.160880635788541,0.0815332627179679,3739,0.0737298305407136,2171,0.07,1.0334802997641934e-05,-33.54,0.2823130488395691,0.1918027743697164,0.0346460742783258,0.0004214677077157,7.143520469757906e-06,73.75999999999999,1.0742883059323634,0,-25.47550921037967,6.916695236716306,1.0000000000025586,D16
1,10267,2.0022004118171517,0.7529411764705882,1.5096046514285486,1.7999092782178197,111,0.4800893832867479,15,0.075,0.012870458836388,-12.285,,,0.0377909808123112,9.739943508327652e-05,9.739943508327652e-05,13.2,1.1406237138487731,2,43.97427566395884,7.953602271416822,1.0000000000000087,D16
2,22482,4.384286515873498,1.0,1.028066743235428,0.5512295340725526,163,0.5432020688980356,78,,3.981683560612778e-05,-7.7999997,,,0.0337158615781514,0.0003113601992705,4.448002846721822e-05,16.2,1.1875326687849894,4,-3.6738855980029435,23.328336359239934,11.560786905851636,D16
3,30433,5.934836381886762,1.0,4.321203651485057,0.2546855559081279,138,0.3115096510302281,95,0.26,8.503343113481073e-06,-35.879997,,,0.0425524923602668,0.0015115171031446,0.0,17.55999999999999,0.9496485350753928,5,-26.458236199976024,28.92875401091543,20.279078803055988,D16
4,44848,8.745951501818995,1.0,1.7912997419603685,0.6722101775729656,791,0.660391381010861,347,0.34,5.888839885462412e-06,-13.844999,,,0.0345388869068854,0.0001337852301105,4.459507670353193e-05,19.0,1.1196209270374466,7,26.7716239382847,35.54940661883186,11.74453512772276,D16
5,48774,9.51157328196842,1.0,1.093556849196179,0.3427333706554087,477,0.274894679279506,220,0.215,5.413919281649936e-06,-8.58,,,0.0294009103210727,0.0001025136343133,0.0,22.0,0.9858059201916548,8,-1.3193349675582842,37.47706412244651,14.619797705116838,D16
6,16196,3.158433609602668,0.976470588235294,4.578098310472464,1.5052589032530068,231,0.6007496121362439,43,0.25,7.904100993281368e-05,-36.66,,,0.0424796245986663,0.0005556927636453,0.0,21.35999999999999,1.0865069430876513,10,-4.639912525624445,62.79775802580314,8.104848588379031,D16
7,54119,10.553918777357792,1.0,1.4169103079310637,0.5596723372775516,959,0.7219199694265259,527,0.325,7.65810849305499e-06,-11.505,,,0.0310981355900885,0.0001108667935475,1.8477798924592104e-05,34.6,1.0508073942019067,11,-5.471040423123384,63.97073144489281,1.0000000000000022,D16
8,24028,4.685776906120826,1.0,3.589426421538026,0.2960598497413635,100,0.3430638626954809,64,0.31,4.078641632665112e-05,-26.13,0.3050299286842346,0.3659994699060915,0.074538038954553,0.0056184451473281,0.0001664724488097,11.559999999999992,1.1776946513689974,13,47.07790532344751,102.4961780087709,36.87336480501649,D16
9,39225,7.649392339878035,1.0,3.22323096435092,0.0544358409447545,49,0.0495534686607439,29,0.06,8.16104346012452e-05,-23.984999,,,0.0516762268961121,0.0021924792861695,2.5493945188017844e-05,21.15999999999999,1.0604987321235009,15,46.85415739122689,125.67546126214968,30.69805678372936,D16
10,21559,4.20428934239466,1.0,1.5672258448197274,0.3934968984444412,107,0.3141180272101218,48,0.275,0.0001575558042008,-10.92,,,0.1150795491442089,0.0018089892852173,9.276868129319542e-05,13.2,1.4626772911564048,47,12.041271634978951,33.66687722819454,54.908662699107346,D16
11,20369,3.972223647443612,1.0,1.8073822125135,0.5067344797629979,123,0.7801638604551571,77,,5.776658804928996e-05,-12.48,,,0.1188079925376798,0.0019146742599047,4.909421179242967e-05,12.8,1.5872319534867898,52,17.304174642129723,59.30113162705381,34.47504694144618,D16
12,8048,1.5694661453496093,1.0,1.5234481520034011,0.3430695539116197,13,0.2227288023364291,5,0.295,0.0003135621106272,-11.115,0.9866198897361756,0.8765066057443613,0.1021371769383697,0.0014910536779324,0.000124254473161,4.6,1.5552337378578638,53,17.586268915377786,58.709464454010096,33.870171892030775,D16
13,6662,1.2991778653478003,1.0,2.5186887585882145,1.0013337450895905,26,0.7248783403481126,8,,7.884666045434865e-05,-19.305,0.6576710343360901,0.6260187327861786,0.4276493545481837,0.0703992794956469,0.0004503152206544,3.4,1.745943469773657,57,17.097310039556366,73.61887738772484,22.137903844124544,D16
14,10636,2.07416027857088,1.0,1.34888003538145,0.407964024873976,27,0.324686763912702,12,,4.501430126695759e-05,-7.7999997,1.225532293319702,1.281727969646454,0.1532531026701767,0.003854832643851,0.0001880406167732,6.0,1.5980069753805377,82,15.388785237103582,40.58457688420938,43.745648428249346,D16
15,4585,0.8941354717231559,1.0,1.7344877508833143,0.3252340986741412,4,0.0,0,0.225,0.0013400495419035,-11.115,0.9968653321266174,0.7622024714946747,0.1938931297709923,0.0047982551799345,0.0002181025081788,3.2,1.5942264575453624,87,16.799519875640907,51.669121181297015,24.186033858097066,D16
16,3422,0.6673351328760391,1.0,1.1724563103902332,0.7298351147609189,5,0.6475828291826613,2,,0.0016391880206873,-8.385,1.365084886550903,1.2188249111175535,0.1648158971361776,0.0035067212156633,0.0002922267679719,2.4,1.4205028612671338,93,13.544445765683857,46.03414479500114,229.27928637918998,D16
